jan-2018,4.1
fev-2018,4.7
mar-2018,4.9
abr-2018,4.0
mai-2018,4.3
jun-2018,3.9
jul-2018,4.5
ago-2018,4.2
set-2018,4.6
out-2018,4.1
nov-2018,4.4
dez-2018,4.8
jan-2019,4.0
fev-2019,4.2
mar-2019,4.5
abr-2019,4.1
mai-2019,3.8
jun-2019,4.3
jul-2019,4.7
ago-2019,4.0
set-2019,4.2
out-2019,4.4
nov-2019,4.1
dez-2019,4.6
jan-2020,4.3
fev-2020,4.5
mar-2020,4.8
abr-2020,3.9
mai-2020,4.1
jun-2020,4.0
jul-2020,4.4
ago-2020,4.2
set-2020,4.7
out-2020,4.3
nov-2020,4.5
dez-2020,4.9
jan-2021,4.2
fev-2021,4.6
mar-2021,4.4
abr-2021,4.1
mai-2021,4.3
jun-2021,3.9
jul-2021,4.5
ago-2021,4.1
set-2021,4.4
out-2021,4.2
nov-2021,4.6
dez-2021,4.8
jan-2022,4.0
fev-2022,4.3
mar-2022,4.5
abr-2022,4.1
mai-2022,4.4
jun-2022,3.8
jul-2022,4.2
ago-2022,4.0
set-2022,4.5
out-2022,4.3
nov-2022,4.6
dez-2022,4.9
jan-2023,4.1
fev-2023,4.4
mar-2023,4.7
abr-2023,4.0
mai-2023,4.2
jun-2023,3.9
jul-2023,4.4
ago-2023,4.1
set-2023,4.6
out-2023,4.2
nov-2023,4.5
dez-2023,4.8
jan-2024,4.3
fev-2024,4.5
mar-2024,4.9
abr-2024,4.1
mai-2024,4.4
jun-2024,4.0
jul-2024,4.3
ago-2024,4.2
set-2024,4.7
out-2024,4.4
nov-2024,4.6
dez-2024,5.0
jan-2025,4.2
fev-2025,4.4
mar-2025,4.6
abr-2025,4.1
mai-2025,4.3
jun-2025,3.9
jul-2025,4.5
ago-2025,4.1
set-2025,4.4
out-2025,4.2
nov-2025,4.7
dez-2025,4.9
jan-2026,4.1
fev-2026,4.5
mar-2026,4.8
abr-2026,4.0
